"filename", "language", "JSON", "Python", "Markdown", "pip requirements", "PowerShell", "Shell Script", "JSON with Comments", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"/Users/albertlungu/Documents/GitHub/CNLC/frontend/src/js/api-client.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/frontend/src/js/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/frontend/src/js/utils/constants.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/frontend/src/js/utils/helper.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/requirements.txt", "pip requirements", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 11, 7, 30
"/Users/albertlungu/Documents/GitHub/CNLC/scripts/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/scripts/overpass_api.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 115, 5, 143
"/Users/albertlungu/Documents/GitHub/CNLC/scripts/populate_businesses.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 29
"/Users/albertlungu/Documents/GitHub/CNLC/setup.ps1", "PowerShell", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/albertlungu/Documents/GitHub/CNLC/setup.sh", "Shell Script", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"/Users/albertlungu/Documents/GitHub/CNLC/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/albertlungu/Documents/GitHub/CNLC/tests/test_backend/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 553340, 321, 130, 12, 3, 12, 0, 0, 0, 0, 352, 154, 554324
